,Sold_Date,latitude,longitude,year,quarter,Sold_Price
75,1993-06-16 00:00:00+00:00,-33.80972375,151.10813707,1993,2,103000.0
76,1993-06-18 00:00:00+00:00,-33.77899474,150.82620926,1993,2,147000.0
77,1993-07-01 00:00:00+00:00,-33.2470322,151.5080175,1993,3,89950.0
78,1993-07-07 00:00:00+00:00,-33.8853443,150.85338882,1993,3,84000.0
79,1993-07-12 00:00:00+00:00,-33.89413156,151.2422913,1993,3,213000.0
80,1993-07-16 00:00:00+00:00,-32.9885982,151.60725203,1993,3,36000.0
81,1993-07-21 00:00:00+00:00,-33.94833897,151.09065486,1993,3,217000.0
82,1993-08-13 00:00:00+00:00,-33.93967524,150.90767212,1993,3,130000.0
83,1993-08-17 00:00:00+00:00,-33.74687035,150.64697091,1993,3,59000.0
84,1993-08-18 00:00:00+00:00,-33.87378231,151.2361502,1993,3,440.0
85,1993-09-30 00:00:00+00:00,-34.09943296,150.80551686,1993,3,62500.0
86,1993-10-20 00:00:00+00:00,-32.9574058,151.70244248,1993,4,70000.0
87,1993-11-05 00:00:00+00:00,-33.87369778,151.20879424,1993,4,149500.0
88,1993-11-18 00:00:00+00:00,-34.44243007,147.53540371,1993,4,28500.0
89,1993-12-02 00:00:00+00:00,-34.03514239,150.80205603,1993,4,100000.0
90,1994-01-21 00:00:00+00:00,-33.88734945,151.01326362,1994,1,140000.0
91,1994-02-14 00:00:00+00:00,-33.83795558,148.69454056,1994,1,86000.0
92,1994-02-15 00:00:00+00:00,-35.70576451,150.24832087,1994,1,60000.0
93,1994-04-08 00:00:00+00:00,-34.57227978,150.8367581,1994,2,73000.0
94,1994-04-22 00:00:00+00:00,-33.96732631,151.00356555,1994,2,209000.0
95,1994-04-23 00:00:00+00:00,-33.66277139,151.1019079,1994,2,277500.0
96,1994-06-10 00:00:00+00:00,-32.88942428,151.65999752,1994,2,105000.0
97,1994-06-17 00:00:00+00:00,-33.80682879,151.122015,1994,2,280000.0
98,1994-06-29 00:00:00+00:00,-36.07628034,146.90667537,1994,2,100000.0
99,1994-07-22 00:00:00+00:00,-34.03092028,150.82145564,1994,3,142000.0
100,1994-08-23 00:00:00+00:00,-33.78742303,150.67917694,1994,3,72000.0
101,1994-09-09 00:00:00+00:00,-35.81658969,144.89698798,1994,3,70001.0
102,1994-10-21 00:00:00+00:00,-33.71342182,150.33405178,1994,4,485000.0
103,1994-10-25 00:00:00+00:00,-33.96337959,151.09684918,1994,4,133000.0
104,1994-10-31 00:00:00+00:00,-33.88948914,150.95115769,1994,4,140000.0
105,1994-11-10 00:00:00+00:00,-34.00178243,150.89560128,1994,4,126000.0
106,1994-11-18 00:00:00+00:00,-33.08731513,151.51082592,1994,4,80000.0
107,1995-03-02 00:00:00+00:00,-33.05928028,151.57683271,1995,1,43500.0
108,1995-03-10 00:00:00+00:00,-33.28121151,151.48179722,1995,1,59000.0
109,1995-03-30 00:00:00+00:00,-34.05417236,150.74723084,1995,1,228500.0
110,1995-05-19 00:00:00+00:00,-33.70940166,150.7087166,1995,2,150000.0
111,1995-06-03 00:00:00+00:00,-33.84432254,150.9658525,1995,2,181500.0
112,1995-06-09 00:00:00+00:00,-33.26852226,151.54189239,1995,2,100000.0
113,1995-06-21 00:00:00+00:00,-33.85277027,150.98995743,1995,2,215000.0
114,1995-07-21 00:00:00+00:00,-33.81169644,151.15913611,1995,3,315000.0
115,1995-08-16 00:00:00+00:00,-33.95784941,151.14762648,1995,3,210000.0
116,1995-08-26 00:00:00+00:00,-33.92162802,151.11286073,1995,3,215500.0
117,1995-08-31 00:00:00+00:00,-33.89513916,151.17706761,1995,3,85000.0
118,1995-09-04 00:00:00+00:00,-33.90103162,151.16595393,1995,3,97500.0
119,1995-09-08 00:00:00+00:00,-33.81879687,150.99589495,1995,3,100000.0
120,1995-09-27 00:00:00+00:00,-33.84879328,150.93406292,1995,3,120000.0
121,1995-11-17 00:00:00+00:00,-35.34157531,149.24063063,1995,4,120000.0
122,1995-12-01 00:00:00+00:00,-33.8703816,151.12578262,1995,4,275000.0
123,1995-12-01 00:00:00+00:00,-35.5340936,144.95902849,1995,4,117000.0
124,1996-02-02 00:00:00+00:00,-33.83213249,150.94868917,1996,1,195000.0
125,1996-02-28 00:00:00+00:00,-33.75571031,151.27343005,1996,1,215000.0
126,1996-03-07 00:00:00+00:00,-32.97725471,151.71351079,1996,1,118500.0
127,1996-03-21 00:00:00+00:00,-28.17974235,153.54638241,1996,1,100000.0
128,1996-04-02 00:00:00+00:00,-33.84261872,151.23419046,1996,2,610000.0
129,1996-04-12 00:00:00+00:00,-33.77029621,151.10040382,1996,2,170000.0
130,1996-04-15 00:00:00+00:00,-33.82140345,151.19363928,1996,2,310000.0
131,1996-04-17 00:00:00+00:00,-32.93567582,151.7699929,1996,2,145000.0
132,1996-05-14 00:00:00+00:00,-33.20705671,151.4962856,1996,2,97000.0
133,1996-07-16 00:00:00+00:00,-34.08728452,151.155697,1996,3,192000.0
134,1996-08-02 00:00:00+00:00,-33.90519719,150.86689233,1996,3,136500.0
135,1996-08-16 00:00:00+00:00,-33.83420286,151.12551062,1996,3,75000.0
136,1996-08-23 00:00:00+00:00,-34.01108361,150.81710144,1996,3,135000.0
137,1996-08-30 00:00:00+00:00,-33.80598588,151.2037374,1996,3,350000.0
138,1996-09-05 00:00:00+00:00,-33.89011081,150.93294025,1996,3,110000.0
139,1996-10-04 00:00:00+00:00,-29.8738328,150.57519841,1996,4,40000.0
140,1996-10-15 00:00:00+00:00,-33.94874247,151.25068331,1996,4,248000.0
141,1996-11-02 00:00:00+00:00,-33.96591652,151.09730718,1996,4,368000.0
