,Contract Date,Property Unit Number,Property House Number,Property Locality,State,Purchase Price,Postcode,Street,Year,Quarter,prev_quarterly_median
62,1991-04-05 00:00:00+00:00,,,,,234000,2067,,1991,2,254000
63,1991-04-16 00:00:00+00:00,14,37,CHATSWOOD,NSW,205000,2067,ARCHER,1991,2,195000
64,1991-04-19 00:00:00+00:00,,21,CHATSWOOD,NSW,360000,2067,DAISY,1991,2,350000
65,1991-04-23 00:00:00+00:00,,,,,260280,2067,,1991,2,254000
66,1991-04-26 00:00:00+00:00,,,,,210000,2067,,1991,2,195000
67,1991-04-29 00:00:00+00:00,34-3,71,CHATSWOOD,NSW,835000,2067,ARCHER,1991,2,480000
68,1991-05-01 00:00:00+00:00,,10,CHATSWOOD,NSW,360000,2067,DULWICH,1991,2,350000
69,1991-05-01 00:00:00+00:00,22,4,CHATSWOOD,NSW,200000,2067,EDDY,1991,2,620000
70,1991-05-01 00:00:00+00:00,,,,,260000,2067,,1991,2,254000
71,1991-05-03 00:00:00+00:00,,,,,219000,2067,,1991,2,480000
72,1991-05-10 00:00:00+00:00,,5,CHATSWOOD WEST,NSW,230000,2067,WOOD,1991,2,480000
73,1991-05-13 00:00:00+00:00,,,,,200000,2067,,1991,2,235000
74,1991-05-15 00:00:00+00:00,,,,,340000,2067,,1991,2,254000
75,1991-05-15 00:00:00+00:00,,,CHATSWOOD,NSW,238000,2067,DULWICH,1991,2,254000
76,1991-05-15 00:00:00+00:00,,,,,320000,2067,,1991,2,254000
77,1991-05-16 00:00:00+00:00,,13,CHATSWOOD,NSW,210000,2067,ARCHER,1991,2,215500
78,1991-05-20 00:00:00+00:00,,,,,367500,2067,,1991,2,350000
79,1991-05-28 00:00:00+00:00,,37,CHATSWOOD,NSW,192000,2067,DOUGLAS,1991,2,215500
80,1991-05-31 00:00:00+00:00,,32,CHATSWOOD,NSW,350000,2067,GOODCHAP,1991,2,350000
81,1991-06-04 00:00:00+00:00,,9,CHATSWOOD,NSW,220000,2067,HARWOOD,1991,2,254000
82,1991-06-07 00:00:00+00:00,,,,,240000,2067,,1991,2,254000
83,1991-06-20 00:00:00+00:00,,11,CHATSWOOD,NSW,330000,2067,ORCHARD,1991,2,200000
84,1991-06-26 00:00:00+00:00,,,,,192000,2067,,1991,2,254000
85,1991-07-01 00:00:00+00:00,,21 - 23,CHATSWOOD,NSW,206500,2067,JOHNSON,1991,3,226800
86,1991-07-01 00:00:00+00:00,,11,CHATSWOOD,NSW,310000,2067,MATHESON,1991,3,200000
87,1991-07-01 00:00:00+00:00,,,,,525000,2067,,1991,3,200000
88,1991-07-01 00:00:00+00:00,,33,CHATSWOOD,NSW,2000000,2067,CRICK,1991,3,250000
89,1991-07-03 00:00:00+00:00,,131D,CHATSWOOD,NSW,245000,2067,GREVILLE,1991,3,213850
90,1991-07-08 00:00:00+00:00,,,,,360000,2067,,1991,3,360000
91,1991-07-09 00:00:00+00:00,,10,CHATSWOOD WEST,NSW,248000,2067,WOOD,1991,3,360000
92,1991-07-12 00:00:00+00:00,,15,CHATSWOOD,NSW,200000,2067,GOODCHAP,1991,3,190000
93,1991-07-15 00:00:00+00:00,,39,CHATSWOOD,NSW,1000000,2067,HERCULES,1991,3,252500
94,1991-07-18 00:00:00+00:00,,,,,1299450,2067,,1991,3,725000
95,1991-07-19 00:00:00+00:00,2,71,CHATSWOOD,NSW,255000,2067,ARCHER,1991,3,250000
96,1991-07-19 00:00:00+00:00,,14,CHATSWOOD,NSW,227500,2067,MORIARTY,1991,3,190000
97,1991-07-24 00:00:00+00:00,,,,,350000,2067,,1991,3,360000
98,1991-07-25 00:00:00+00:00,,23,CHATSWOOD,NSW,425000,2067,SMITH,1991,3,230000
99,1991-07-26 00:00:00+00:00,,75,CHATSWOOD,NSW,200000,2067,GREVILLE,1991,3,333500
100,1991-08-02 00:00:00+00:00,,61,CHATSWOOD WEST,NSW,196000,2067,HAWTHORNE,1991,3,250000
101,1991-08-02 00:00:00+00:00,4,21,CHATSWOOD,NSW,195000,2067,GOODCHAP,1991,3,250000
102,1991-08-06 00:00:00+00:00,,97,CHATSWOOD,NSW,300000,2067,ASHLEY,1991,3,314500
103,1991-08-06 00:00:00+00:00,,,,,189000,2067,,1991,3,210000
104,1991-08-08 00:00:00+00:00,,5,CHATSWOOD,NSW,220000,2067,KAREELA,1991,3,230000
